district,numberOfRooms,meters,furniture,price
Bieżanów-Prokocim,3,64.1,True,960000.0
Prądnik Czerwony,2,53.06,False,1000000.0
Krowodrza,2,46,True,756756.0
Bieżanów-Prokocim,3,58.66,False,740000.0
Prądnik Biały,2,40.14,False,635000.0
Mistrzejowice,2,20.2,False,202000.0
Bieńczyce,2,36,True,550000.0
Mistrzejowice,1,19,False,190000.0
Bieżanów-Prokocim,2,45,True,640000.0
Podgórze Duchackie,3,57.55,True,690000.0
Mistrzejowice,2,30.5,False,305000.0
Stare Miasto,2,53,True,899000.0
Czyżyny,2,50,True,770000.0
Mistrzejowice,1,20,True,299000.0
Czyżyny,3,49,False,695000.0
Bieżanów-Prokocim,2,33,True,495000.0
Mistrzejowice,3,64.85,False,715000.0
Krowodrza,2,55.72,True,1139000.0
Prądnik Biały,2,33.1,False,330000.0
Krowodrza,2,50.14,True,852000.0
Czyżyny,2,52,True,690000.0
Zwierzyniec,3,50,False,840000.0
Podgórze Duchackie,2,72,False,699000.0
Czyżyny,3,53,True,760000.0
Bieżanów-Prokocim,2,49.6,False,570000.0
Krowodrza,2,41.52,False,830000.0
Bieżanów-Prokocim,3,47.03,True,576000.0
Krowodrza,3,48,True,890000.0
Podgórze,2,46,True,952000.0
Mistrzejowice,2,39.5,True,585000.0
Grzegórzki,2,49.9,False,747000.0
Mistrzejowice,3,46.8,True,584000.0
Prądnik Biały,3,111.75,True,1341000.0
Prądnik Czerwony,3,55.12,True,649000.0
Podgórze Duchackie,3,56.11,False,660000.0
Nowa Huta,4,54.53,False,699000.0
Podgórze,3,60.91,True,870000.0
Grzegórzki,2,48.6,False,570999.0
Stare Miasto,2,40.26,False,795000.0
Stare Miasto,2,34.5,True,755000.0
Krowodrza,2,46.5,False,720000.0
Dębniki,4,85.33,True,1249000.0
Dębniki,3,56.4,True,675000.0
Dębniki,3,48.2,True,679000.0
Bieńczyce,2,46.2,False,619000.0
Krowodrza,3,47.9,True,650000.0
Podgórze,3,77.11,True,1739000.0
Podgórze Duchackie,3,56,True,689000.0
Prądnik Biały,3,59.5,True,1050000.0
Grzegórzki,2,48.3,False,780000.0
Bieńczyce,2,37,True,517000.0
Bieżanów-Prokocim,2,34,False,389000.0
Grzegórzki,3,71.59,True,1396005.0
Dębniki,2,34,False,531000.0
Podgórze Duchackie,2,45,False,260000.0
Mistrzejowice,2,45.01,True,527000.0
Bieżanów-Prokocim,1,23.1,True,390000.0
Nowa Huta,2,37,True,440000.0
Bieżanów-Prokocim,2,25,False,399000.0
Bieńczyce,3,55.4,True,635000.0
Mistrzejowice,4,56.01,False,590000.0
Bieżanów-Prokocim,2,51.8,True,779000.0
Czyżyny,4,62,True,810000.0
Nowa Huta,4,95,False,1138955.0
Prądnik Biały,2,37.29,True,499000.0
Krowodrza,2,51,True,799000.0
Bieńczyce,2,36.1,True,474000.0
Bieżanów-Prokocim,1,23,True,299000.0
Bieżanów-Prokocim,3,61.62,False,690000.0
Podgórze,4,98,False,885000.0
Prądnik Biały,2,44.22,False,599000.0
Podgórze Duchackie,4,62.5,False,630000.0
Krowodrza,2,37.71,True,773000.0
Prądnik Biały,2,33.87,False,531759.0
Prądnik Biały,4,70.5,True,1200000.0
Podgórze Duchackie,3,60.4,True,829000.0
Nowa Huta,1,32.24,True,440000.0
Podgórze Duchackie,2,32,False,550000.0
Dębniki,2,34.2,False,565000.0
Podgórze,1,22,True,517000.0
Prądnik Czerwony,2,36,True,498000.0
Grzegórzki,2,48.6,True,590000.0
Prądnik Biały,3,66.5,True,859000.0
Bieżanów-Prokocim,2,28,False,359000.0
Bieżanów-Prokocim,3,46.85,True,679000.0
Łagiewniki-Borek Fałęcki,1,22,False,233000.0
Prądnik Czerwony,2,62.04,True,804224.52
Podgórze,3,47.2,True,660000.0
Bieżanów-Prokocim,1,24,False,210000.0
Prądnik Biały,2,51,True,699000.0
Bieżanów-Prokocim,2,39,False,459900.0
Krowodrza,2,62.7,True,845000.0
Mistrzejowice,1,30,True,420000.0
Dębniki,3,64.5,True,835000.0
Podgórze Duchackie,1,34,True,499000.0
Bronowice,4,92.5,False,1199000.0
Bieńczyce,2,36,False,499000.0
Bieżanów-Prokocim,3,50,True,770000.0
Podgórze Duchackie,2,36,True,585000.0
Prądnik Biały,1,22.9,False,279000.0
Krowodrza,1,35.35,False,585000.0
Podgórze,1,14,True,367000.0
Podgórze Duchackie,4,81.25,True,880000.0
Czyżyny,2,43.17,False,539000.0
Dębniki,2,53.3,True,745000.0
Bieńczyce,2,41.18,True,569000.0
Prądnik Czerwony,3,48.5,False,625000.0
Bieżanów-Prokocim,4,135,True,1349000.0
Prądnik Czerwony,3,42.8,False,399000.0
Podgórze,3,75,True,1425000.0
Mistrzejowice,1,20,True,299000.0
Prądnik Biały,2,33.1,False,330000.0
Prądnik Biały,2,70,True,1135000.0
Nowa Huta,3,54,True,620000.0
Podgórze Duchackie,3,63,True,719000.0
Bieńczyce,3,52.54,True,850000.0
Bieżanów-Prokocim,3,55,True,749000.0
Prądnik Biały,4,70.08,False,1199000.0
Podgórze,2,56.2,True,670000.0
Dębniki,2,49,True,669000.0
Prądnik Czerwony,3,45.86,False,550000.0
Krowodrza,2,48.09,False,780000.0
Grzegórzki,2,34,False,809000.0
Prądnik Biały,2,39,False,553000.0
Grzegórzki,2,20.4,False,219000.0
Prądnik Czerwony,4,81,True,1099995.0
Stare Miasto,2,44,False,528000.0
Mistrzejowice,1,19,False,249000.0
Bieżanów-Prokocim,2,44.43,True,699000.0
Bieżanów-Prokocim,3,49,True,685000.0
Prądnik Biały,2,48,True,779000.0
Nowa Huta,3,44,True,543000.0
Podgórze,2,46,False,561200.0
Czyżyny,2,52,True,690000.0
Prądnik Czerwony,3,53.98,False,949000.0
Prądnik Biały,1,21.13,False,250000.0
Bieżanów-Prokocim,3,67.7,True,699999.0
Bronowice,2,36,True,518000.0
Podgórze,2,44.4,True,794760.0
Dębniki,3,47.3,False,730000.0
Wzgórza Krzesławickie,2,42.57,False,579000.0
Stare Miasto,1,46,True,765000.0
Czyżyny,2,36,True,649000.0
Podgórze Duchackie,2,45.02,True,540000.0
Bronowice,1,19.5,False,359000.0
Prądnik Biały,2,42.8,False,549000.0
Podgórze Duchackie,3,57.55,True,690000.0
Prądnik Biały,2,39,False,553000.0
Podgórze Duchackie,1,25.87,True,395000.0
Bronowice,1,19.5,False,359000.0
Prądnik Biały,2,42.8,False,549000.0
Podgórze,2,49.38,True,549000.0
Dębniki,2,43.9,True,649000.0
Krowodrza,2,37,True,530000.0
Podgórze Duchackie,2,29,True,388618.0
Mistrzejowice,3,60,False,730000.0
Dębniki,3,61,False,695000.0
Krowodrza,2,44,True,899000.0
Podgórze,2,41.6,False,565000.0
Prądnik Czerwony,2,46.3,True,569000.0
Prądnik Biały,2,33.1,False,330000.0
Prądnik Biały,2,40.14,False,635000.0
Prądnik Czerwony,2,40.73,False,599000.0
Podgórze,2,43,True,695000.0
Dębniki,2,52,True,685000.0
Prądnik Czerwony,1,32.96,True,449990.0
Krowodrza,2,42,True,670000.0
Bieńczyce,2,40,True,610000.0
Podgórze Duchackie,3,53.2,True,642000.0
Dębniki,4,92.1,True,1390000.0
Krowodrza,2,43,True,399000.0
Prądnik Biały,2,37,True,499000.0
Dębniki,3,59.5,True,950000.0
Prądnik Czerwony,3,45.86,False,550000.0
Krowodrza,2,43,True,825000.0
Łagiewniki-Borek Fałęcki,1,13.4,False,146000.0
Bieńczyce,2,37,True,609000.0
Grzegórzki,1,22.05,True,439000.0
Nowa Huta,2,46,False,509000.0
Krowodrza,2,37,True,530000.0
Prądnik Biały,2,58,True,499000.0
Grzegórzki,2,20.6,False,219000.0
Prądnik Biały,3,64,True,1196000.0
Bieżanów-Prokocim,4,121.76,False,1399000.0
Bieżanów-Prokocim,3,50,True,770000.0
Grzegórzki,2,48.3,False,780000.0
Prądnik Czerwony,2,40.73,False,599000.0
Krowodrza,2,51.61,True,890000.0
Bieńczyce,3,54.13,True,610000.0
Stare Miasto,2,33.03,False,589586.0
Bronowice,3,64.58,False,734000.0
Nowa Huta,2,37,True,549900.0
Podgórze Duchackie,1,33.4,False,495000.0
Dębniki,2,42.57,False,649000.0
Dębniki,4,92.49,True,1550000.0
Łagiewniki-Borek Fałęcki,1,17,False,249900.0
Prądnik Biały,2,37.6,True,599000.0
Czyżyny,2,52,True,690000.0
Prądnik Czerwony,2,40.73,False,599000.0
Czyżyny,4,62,True,810000.0
Podgórze,3,47,True,860000.0
Łagiewniki-Borek Fałęcki,1,17,False,249900.0
Mistrzejowice,1,20,True,299000.0
Łagiewniki-Borek Fałęcki,1,21.4,False,279000.0
Prądnik Biały,2,37.09,True,550000.0
Łagiewniki-Borek Fałęcki,2,44,False,540000.0
Mistrzejowice,1,20.2,False,202000.0
Bronowice,2,45.45,False,699000.0
Podgórze Duchackie,2,29,True,478000.0
Podgórze Duchackie,3,48,True,660000.0
Krowodrza,2,51.61,True,890000.0
Podgórze Duchackie,1,18.5,False,235000.0
Dębniki,2,48.81,True,990000.0
Nowa Huta,2,35,True,499000.0
Czyżyny,2,25,True,499000.0
Mistrzejowice,2,39.01,False,519000.0
Podgórze Duchackie,4,66.17,False,1090000.0
Prądnik Biały,3,48.71,False,657585.0
Prądnik Czerwony,2,42.87,False,979000.0
Krowodrza,4,72,False,1050000.0
Dębniki,4,81,False,931500.0
Prądnik Biały,2,40.14,False,635000.0
Prądnik Biały,4,70.5,True,1200000.0
Krowodrza,3,60,False,829000.0
Stare Miasto,4,131.4,True,2100000.0
Grzegórzki,3,52,True,650000.0
Nowa Huta,2,44.02,True,649000.0
Krowodrza,2,51,True,640000.0
Bieżanów-Prokocim,2,37.41,False,448500.0
Bieżanów-Prokocim,2,36.7,True,499000.0
Dębniki,3,61.34,True,956000.0
Łagiewniki-Borek Fałęcki,2,48.5,True,530000.0
Prądnik Biały,2,36.91,False,499000.0
Grzegórzki,2,43.35,True,1432800.0
Podgórze,2,30.7,True,549000.0
Prądnik Biały,3,59.5,True,1050000.0
Bieżanów-Prokocim,3,70.75,False,928000.0
Stare Miasto,2,44.4,True,789000.0
Czyżyny,3,47,True,839999.0
Prądnik Czerwony,1,33.8,True,540000.0
Bronowice,2,35.9,True,574364.1
Dębniki,3,56.97,True,969930.0
Dębniki,3,60,False,1080000.0
Stare Miasto,4,111,True,2500000.0
Grzegórzki,3,52.5,True,770000.0
Dębniki,1,36.58,True,620000.0
Grzegórzki,2,48.3,False,780000.0
Podgórze,2,46,True,999999.0
Prądnik Biały,1,21.13,False,250000.0
Dębniki,1,36.58,True,620000.0
Dębniki,3,55,False,759000.0
Dębniki,2,53.02,True,719000.0
Dębniki,2,55.8,True,860000.0
Bieńczyce,3,46.43,True,679000.0
Bieżanów-Prokocim,3,46,True,559000.0
Grzegórzki,1,33.1,False,529000.0
Mistrzejowice,3,60.27,False,765429.0
Bieńczyce,1,24.8,True,358000.0
Prądnik Biały,2,33.87,False,531759.0
Grzegórzki,2,43.35,True,1432800.0
Podgórze,2,30.7,True,549000.0
Prądnik Czerwony,3,50.25,True,990000.0
Bieżanów-Prokocim,3,53.5,True,758900.0
Stare Miasto,1,20.23,False,399000.0
Zwierzyniec,3,66.57,False,1500000.0
Podgórze Duchackie,1,33.33,True,465000.0
Podgórze Duchackie,3,59.56,True,690000.0
Krowodrza,3,44.5,True,599000.0
Krowodrza,2,41.13,True,660000.0
Prądnik Biały,3,69,True,799000.0
Łagiewniki-Borek Fałęcki,1,20,True,250000.0
Prądnik Biały,3,59.5,True,1050000.0
Prądnik Czerwony,4,75.21,False,1052940.0
Prądnik Czerwony,2,53.06,False,1000000.0
Dębniki,4,82,True,1349000.0
Krowodrza,2,33.12,False,599000.0
Bieńczyce,3,55,True,790000.0
Podgórze Duchackie,3,67.15,False,929000.0
Bieńczyce,3,55,False,714900.0
Prądnik Biały,4,53.81,False,724000.0
Podgórze Duchackie,1,22.7,False,302500.0
Bieżanów-Prokocim,2,39,False,499000.0
Bieżanów-Prokocim,3,64.1,True,960000.0
Krowodrza,1,17.01,True,339000.0
Prądnik Biały,2,40.14,False,635000.0
Prądnik Czerwony,2,50.45,True,899000.0
Krowodrza,3,52.1,True,829000.0
Stare Miasto,2,41,True,910000.0
Łagiewniki-Borek Fałęcki,1,22,False,235000.0
Łagiewniki-Borek Fałęcki,3,66,True,779000.0
Mistrzejowice,2,40.9,True,310000.0
Podgórze,1,17.3,True,289000.0
Mistrzejowice,2,50,True,660000.0
Prądnik Czerwony,3,50.3,True,625000.0
Podgórze,4,70.99,False,860000.0
Grzegórzki,2,48.3,False,780000.0
Bieżanów-Prokocim,3,58.66,False,740000.0
Grzegórzki,2,48.6,False,570999.0
Podgórze,4,70.99,False,860000.0
Łagiewniki-Borek Fałęcki,3,62.4,False,998400.0
Podgórze,1,20,True,289000.0
Prądnik Czerwony,3,45.86,False,550000.0
Nowa Huta,2,55,True,799000.0
Mistrzejowice,2,40.9,True,310000.0
Podgórze,2,45.11,False,499000.0
Prądnik Biały,4,67.63,False,1325000.0
Prądnik Biały,4,141,False,1400000.0
Grzegórzki,1,15.7,True,285000.0
Krowodrza,3,48,True,890000.0
Bieżanów-Prokocim,2,37.1,True,495000.0
Bieżanów-Prokocim,2,33,True,495000.0
Prądnik Biały,3,49,True,709000.0
Nowa Huta,2,45,True,565000.0
Krowodrza,1,17.01,True,339000.0
Podgórze,2,46,False,561200.0
Grzegórzki,1,15.7,False,285000.0
Krowodrza,2,32.6,True,585000.0
Prądnik Biały,3,52.5,False,660000.0
Prądnik Czerwony,3,59.4,False,770000.0
Bieżanów-Prokocim,1,21,True,295000.0
Podgórze Duchackie,4,84.25,True,919000.0
Swoszowice,4,61.63,False,699990.0
Bieżanów-Prokocim,2,45,True,640000.0
Bieżanów-Prokocim,3,57.76,True,990000.0
Podgórze,3,42,True,589999.0
Prądnik Biały,2,34.31,True,600000.0
Bieńczyce,3,45,True,700000.0
Bronowice,3,55.41,False,799000.0
Grzegórzki,2,44.1,True,992250.0
Podgórze Duchackie,2,35,True,599000.0
Podgórze,2,40,True,464000.0
Bieżanów-Prokocim,2,33,False,564000.0
Podgórze,2,40.75,False,647925.0
Stare Miasto,4,115.2,False,2050000.0
Stare Miasto,2,40.26,False,795000.0
Grzegórzki,2,43.35,True,1432800.0
Nowa Huta,3,50,False,785000.0
Czyżyny,2,29.3,True,549900.0
Prądnik Czerwony,2,36.85,True,550000.0
Dębniki,2,57,True,670000.0
Podgórze Duchackie,3,47.3,True,756000.0
Dębniki,3,46.3,False,694000.0
Wzgórza Krzesławickie,1,26,False,328000.0
Prądnik Biały,2,37.5,False,449000.0
Dębniki,2,43.03,True,779840.0
Dębniki,2,39.01,True,585000.0
Prądnik Biały,3,59.5,True,1050000.0
Krowodrza,3,48,True,890000.0
Bieżanów-Prokocim,3,47.03,True,576000.0
Prądnik Biały,2,36.63,False,476000.0
Bieżanów-Prokocim,4,62.72,False,849000.0
Nowa Huta,1,18.5,True,340000.0
Podgórze,2,35,True,565000.0
Mistrzejowice,1,26,True,443000.0
Nowa Huta,2,52.38,False,578900.0
Bieżanów-Prokocim,4,104.81,False,1666479.0
Prądnik Biały,4,64,True,799000.0
Podgórze,3,74.5,True,1399000.0
Prądnik Czerwony,2,53.06,False,1000000.0
Nowa Huta,4,95,False,1138955.0
Podgórze,3,75,True,1425000.0
Prądnik Czerwony,2,46.02,False,549000.0
Prądnik Biały,2,38,False,559700.0
Mistrzejowice,1,29.1,True,435000.0
Dębniki,2,40.89,False,650000.0
Podgórze,2,31.44,False,556488.0
Prądnik Biały,4,68.54,False,1185000.0
Bronowice,3,59.36,True,1127000.0
Bieńczyce,3,56.2,True,988900.0
Grzegórzki,1,21.33,True,520000.0
Grzegórzki,2,34.14,True,527000.0
Prądnik Biały,2,33.87,False,531759.0
Prądnik Biały,2,39,False,553000.0
Podgórze Duchackie,3,57.55,True,690000.0
Czyżyny,3,54.31,True,960000.0
Swoszowice,3,58.47,False,769900.0
Mistrzejowice,3,37.23,False,595900.0
Bronowice,2,36.08,False,530000.0
Podgórze,1,30.07,True,399000.0
Dębniki,2,37.2,True,610000.0
Łagiewniki-Borek Fałęcki,1,22,False,233000.0
Mistrzejowice,3,65.26,False,699000.0
Czyżyny,3,53,True,300000.0
Prądnik Biały,1,22.9,False,279000.0
Prądnik Czerwony,2,62.04,True,804224.52
Krowodrza,2,50,True,699000.0
Podgórze,2,31.23,False,499997.0
Stare Miasto,4,115,True,1950000.0
Podgórze Duchackie,3,57,True,908000.0
Podgórze,3,49.22,False,830000.0
Podgórze,3,57.19,False,646247.0
Prądnik Biały,2,47.2,True,649000.0
Podgórze Duchackie,3,45,True,690000.0
Bieżanów-Prokocim,1,18.5,False,215000.0
Nowa Huta,2,36.39,True,469000.0
Prądnik Czerwony,3,45.86,False,550000.0
Czyżyny,3,53,True,300000.0
Dębniki,2,48.81,True,990000.0
Bieżanów-Prokocim,1,18.5,False,215000.0
Nowa Huta,2,36.39,True,469000.0
Grzegórzki,2,20.6,False,219000.0
Bieżanów-Prokocim,2,45.1,False,529000.0
Bieżanów-Prokocim,2,49.5,True,594000.0
Wzgórza Krzesławickie,3,52.49,True,670000.0
Stare Miasto,2,36.75,False,459000.0
Swoszowice,2,51.27,True,630000.0
Łagiewniki-Borek Fałęcki,2,40,True,619900.0
Bieńczyce,2,38,True,550000.0
Bieżanów-Prokocim,2,54.5,True,749000.0
Prądnik Czerwony,2,40.73,False,599000.0
Mistrzejowice,2,39.5,False,629000.0
Podgórze Duchackie,2,32.6,False,540000.0
Dębniki,3,57.09,True,899000.0
Prądnik Biały,4,126,False,1480000.0
Prądnik Biały,2,36.55,True,635000.0
Bieżanów-Prokocim,3,94.86,True,899900.0
Prądnik Biały,3,55.58,False,655000.0
Krowodrza,3,74,False,990000.0
Mistrzejowice,3,50.5,True,639000.0
Dębniki,2,38.85,False,594558.0
Podgórze Duchackie,4,66,True,869000.0
Prądnik Biały,2,33.1,False,330000.0
