district,numberOfRooms,meters,furniture,price
Bieżanów-Prokocim,2,45.36,False,657720.0
Krowodrza,1,16.4,True,289000.0
Stare Miasto,2,35,True,599000.0
Bronowice,3,64.25,True,1050000.0
Podgórze Duchackie,2,37.5,True,649000.0
Prądnik Czerwony,2,40,True,602999.0
Grzegórzki,2,57,False,889000.0
Prądnik Czerwony,3,64.45,False,884000.0
Prądnik Biały,3,62.15,False,919000.0
Stare Miasto,4,163,True,2650000.0
Krowodrza,2,37.71,True,773000.0
Bieżanów-Prokocim,3,47.03,True,576000.0
Dębniki,3,46.73,True,674990.0
Nowa Huta,1,32,True,459000.0
Łagiewniki-Borek Fałęcki,1,15.6,False,170000.0
Mistrzejowice,3,54.65,False,765100.0
Prądnik Biały,4,67.65,False,1270000.0
Prądnik Biały,1,22.9,False,279000.0
Bieżanów-Prokocim,2,40.97,True,640000.0
Podgórze,2,39.85,True,695000.0
Grzegórzki,3,53,False,1098200.0
Zwierzyniec,1,34.84,False,545000.0
Bieżanów-Prokocim,2,45,True,640000.0
Prądnik Czerwony,3,45.86,False,550000.0
Prądnik Czerwony,2,62.04,True,804224.52
Bieżanów-Prokocim,3,49.57,False,577000.0
Nowa Huta,2,30.77,False,499999.0
Podgórze Duchackie,4,70,True,950000.0
Mistrzejowice,3,65.92,False,919000.0
Mistrzejowice,2,31.62,True,496000.0
Podgórze Duchackie,4,73.44,True,849000.0
Bieńczyce,1,23.69,False,420000.0
Mistrzejowice,2,47,True,835000.0
Czyżyny,1,33,True,549900.0
Podgórze,2,46,True,999999.0
Prądnik Czerwony,4,75.21,False,1052940.0
Bieńczyce,2,36,True,550000.0
Czyżyny,1,33,True,549900.0
Podgórze,4,74.9,True,929000.0
Stare Miasto,2,32.36,False,405000.0
Podgórze Duchackie,3,82,True,949000.0
Podgórze,2,29,True,478000.0
Zwierzyniec,4,102.8,True,1289999.0
Prądnik Biały,3,62,False,747000.0
Krowodrza,3,46,True,830000.0
Podgórze,4,58,True,879000.0
Podgórze,4,78.48,False,1098720.0
Prądnik Biały,2,40.14,False,635000.0
Bieńczyce,2,46.76,True,550000.0
Dębniki,2,48.81,True,990000.0
Nowa Huta,2,49.1,False,700000.0
Prądnik Biały,1,28.82,False,458238.0
Nowa Huta,3,52,True,749000.0
Podgórze Duchackie,2,31.4,True,590000.0
Bieńczyce,2,42.52,True,595000.0
Nowa Huta,2,35,True,599000.0
Bieżanów-Prokocim,1,33,True,184900.0
Podgórze,2,46,False,561200.0
Nowa Huta,4,97,False,1160993.0
Prądnik Czerwony,2,40.73,False,599000.0
Dębniki,4,84,False,930000.0
Krowodrza,2,55.97,True,799000.0
Stare Miasto,2,40.98,True,1050000.0
Krowodrza,2,30.77,False,476627.0
Bronowice,4,60,False,810000.0
Dębniki,4,70.34,True,1265909.0
Prądnik Biały,2,46.58,True,791860.0
Krowodrza,2,73.5,False,1385000.0
Podgórze,3,59,True,1200000.0
Grzegórzki,4,53.4,False,849000.0
Krowodrza,2,44,True,899000.0
Prądnik Biały,2,33.1,False,330000.0
Bieżanów-Prokocim,3,68.8,False,860000.0
Grzegórzki,2,38.09,False,818935.0
Bieżanów-Prokocim,1,18.5,False,189000.0
Dębniki,3,46.4,False,695000.0
Stare Miasto,1,24.95,False,419000.0
Grzegórzki,2,46.4,True,699000.0
Stare Miasto,2,60,True,1200000.0
Dębniki,2,46.5,True,735000.0
Nowa Huta,3,50.31,True,754490.0
Podgórze,3,61.79,True,1200000.0
Bronowice,3,62.19,False,833346.0
Bieżanów-Prokocim,2,37.1,True,495000.0
Prądnik Czerwony,3,45.86,False,550000.0
Stare Miasto,2,40.26,False,795000.0
Bronowice,3,62.19,False,833346.0
Krowodrza,2,39,False,660000.0
Krowodrza,2,37.71,True,773000.0
Krowodrza,3,64,False,929000.0
Podgórze,4,114,False,895950.0
Podgórze Duchackie,3,53,True,700000.0
Prądnik Biały,4,73.35,True,899000.0
Prądnik Czerwony,3,53,True,660000.0
Bieńczyce,2,39,False,510000.0
Prądnik Czerwony,3,63.12,False,1150000.0
Stare Miasto,2,47,True,987000.0
Bieńczyce,2,37,True,517000.0
Bieżanów-Prokocim,3,64.1,True,960000.0
Bronowice,3,54.22,False,780226.0
Prądnik Biały,3,68,True,1050000.0
Prądnik Czerwony,4,160,True,1750000.0
Prądnik Czerwony,1,32.2,True,595000.0
Dębniki,3,63.82,True,750000.0
Nowa Huta,3,66,True,765000.0
Zwierzyniec,2,56.33,True,1577000.0
Prądnik Czerwony,2,34.94,False,528000.0
Bieżanów-Prokocim,3,57.76,True,990000.0
Grzegórzki,2,43.35,True,1432800.0
Grzegórzki,2,48.6,False,570999.0
Zwierzyniec,3,52,True,810000.0
Stare Miasto,3,76.51,True,1699000.0
Prądnik Biały,2,42.18,False,729000.0
Dębniki,2,65.16,False,745000.0
Bieżanów-Prokocim,2,42.24,False,670000.0
Podgórze,3,59.26,False,999000.0
Dębniki,1,34.5,True,495000.0
Łagiewniki-Borek Fałęcki,3,50.07,False,950000.0
Czyżyny,3,62.24,False,980000.0
Stare Miasto,1,30.43,False,880000.0
Prądnik Czerwony,4,75.21,False,1052940.0
Dębniki,3,60.7,True,829000.0
Podgórze,2,46,False,561200.0
Nowa Huta,2,35.2,True,629000.0
Nowa Huta,1,37,True,474011.0
Podgórze,1,28.83,False,485000.0
Grzegórzki,1,23,True,506000.0
Mistrzejowice,3,57,True,683000.0
Podgórze,2,33,False,585000.0
Czyżyny,3,57,False,899000.0
Prądnik Biały,2,56.6,True,735000.0
Czyżyny,3,63,True,750000.0
Grzegórzki,2,34,False,809000.0
Podgórze Duchackie,3,57.55,True,690000.0
Prądnik Biały,2,56.6,True,735000.0
Podgórze,2,37.71,False,549000.0
Mistrzejowice,2,48.2,True,767000.0
Bieżanów-Prokocim,3,93.84,False,869000.0
Wzgórza Krzesławickie,2,40.7,True,479000.0
Podgórze,4,74.37,False,809000.0
Bieńczyce,2,37.81,True,510000.0
Podgórze Duchackie,2,49,True,320000.0
Bronowice,3,97,True,1350000.0
Prądnik Biały,4,120.6,True,1549000.0
Krowodrza,2,48.09,False,780000.0
Podgórze,2,46,False,561200.0
Bieńczyce,2,46.76,True,550000.0
Mistrzejowice,4,63,False,750000.0
Bieńczyce,2,36.4,False,650000.0
Dębniki,2,52,False,675000.0
Dębniki,3,56.9,True,885000.0
Krowodrza,3,59.35,False,830000.0
Podgórze,3,67,True,1390000.0
Łagiewniki-Borek Fałęcki,4,82,True,1349000.0
Podgórze,2,37,True,749000.0
Prądnik Biały,3,50,False,759000.0
Łagiewniki-Borek Fałęcki,2,29.9,False,481400.0
Stare Miasto,4,115.2,False,2050000.0
Prądnik Czerwony,3,45.86,False,550000.0
Krowodrza,2,50.14,True,852000.0
Podgórze Duchackie,4,67,False,830000.0
Krowodrza,2,45.85,True,675000.0
Czyżyny,3,84,False,1140000.0
Stare Miasto,2,52.62,True,1235000.0
Grzegórzki,3,71.95,False,1431000.0
Podgórze Duchackie,3,61.4,True,890000.0
Nowa Huta,2,35.2,True,629000.0
Dębniki,2,58,True,849000.0
Stare Miasto,1,28.9,True,644470.0
Czyżyny,3,59.03,False,796905.0
Bieńczyce,2,36,True,550000.0
Stare Miasto,2,40.26,False,795000.0
Krowodrza,2,37.71,True,773000.0
Bieżanów-Prokocim,3,61,False,770000.0
Nowa Huta,3,46,False,596000.0
Prądnik Biały,3,62.65,True,1060000.0
Dębniki,4,68.99,True,1154832.0
Nowa Huta,3,56.37,True,840000.0
Grzegórzki,1,30,True,660000.0
Bronowice,3,65.73,True,799990.0
Podgórze,2,56,True,515000.0
Krowodrza,2,43,True,825000.0
Podgórze,1,21,True,425000.0
Prądnik Czerwony,2,53.06,False,1000000.0
Podgórze,2,30.7,True,549000.0
Bieńczyce,2,37,True,517000.0
Bieżanów-Prokocim,2,54.5,True,749000.0
Bieżanów-Prokocim,3,46.85,True,679000.0
Mistrzejowice,1,29,True,470000.0
Czyżyny,3,52,True,639000.0
Podgórze,3,51.15,True,1010000.0
Prądnik Biały,2,38.5,True,639000.0
Podgórze,3,64.88,False,940760.0
Prądnik Czerwony,2,58.83,True,775000.0
Podgórze,4,71.9,True,1292050.0
Łagiewniki-Borek Fałęcki,2,37.55,True,649000.0
Podgórze,3,75,True,1425000.0
Czyżyny,3,63,True,750000.0
Krowodrza,2,39,True,699000.0
Podgórze,1,31.4,True,599000.0
Krowodrza,2,38.7,True,750000.0
Bronowice,3,81.52,False,1483664.0
Podgórze Duchackie,4,56,True,833900.0
Podgórze Duchackie,1,33.3,True,550000.0
Czyżyny,2,42.85,True,775000.0
Krowodrza,3,52,False,649000.0
Wzgórza Krzesławickie,2,47,False,590000.0
Stare Miasto,1,37.44,True,675000.0
Zwierzyniec,2,46.23,False,689000.0
Krowodrza,2,50.14,True,852000.0
Czyżyny,3,53,True,300000.0
Podgórze,2,46,False,561200.0
Bieńczyce,3,48.5,False,789000.0
Grzegórzki,1,18.14,True,379000.0
Prądnik Biały,4,80.9,True,829000.0
Wzgórza Krzesławickie,2,39.2,True,519000.0
Bronowice,2,62,True,940000.0
Stare Miasto,3,58.77,False,719000.0
Mistrzejowice,4,65,True,965000.0
Grzegórzki,3,47.55,True,829000.0
Prądnik Biały,4,116,True,1399000.0
Bieżanów-Prokocim,3,68.8,False,860000.0
Grzegórzki,2,43.35,True,1432800.0
Prądnik Czerwony,2,46.3,True,569000.0
Łagiewniki-Borek Fałęcki,3,48.83,False,870000.0
Prądnik Biały,3,52.48,False,659000.0
Podgórze Duchackie,3,61.5,True,850000.0
Czyżyny,1,35.3,True,555000.0
Prądnik Biały,3,57,False,899000.0
Dębniki,2,38.28,False,594000.0
Podgórze Duchackie,3,53.24,True,845000.0
Bieżanów-Prokocim,3,63.29,False,854415.0
Nowa Huta,2,38.88,True,569000.0
Bronowice,1,40.5,True,570000.0
Bieńczyce,2,46.76,True,550000.0
Krowodrza,2,39,True,699000.0
Podgórze,3,75,True,1425000.0
Bieńczyce,2,40.62,False,890000.0
Mistrzejowice,3,63.75,False,799000.0
Podgórze Duchackie,3,61.4,True,850000.0
Nowa Huta,3,53.4,True,655000.0
Nowa Huta,3,63,True,799000.0
Dębniki,3,73,True,1300000.0
Grzegórzki,3,59,False,1249000.0
Nowa Huta,2,39,True,500000.0
Bieżanów-Prokocim,2,50,False,595000.0
Podgórze,2,39,True,699999.0
Podgórze Duchackie,2,36,True,585000.0
Nowa Huta,4,85,False,1031050.0
Krowodrza,2,55.72,True,1139000.0
Podgórze,2,39.04,False,688000.0
Podgórze,3,62,True,1195000.0
Grzegórzki,3,62.5,False,789000.0
Stare Miasto,3,64.4,True,1159000.0
Prądnik Czerwony,3,75.38,False,1250000.0
Dębniki,3,57.8,False,606000.0
Nowa Huta,3,52.11,True,690000.0
Prądnik Biały,2,42.98,False,650000.0
Dębniki,3,60,False,999999.0
Stare Miasto,2,34.5,True,755000.0
Bieńczyce,2,37,True,517000.0
Bieżanów-Prokocim,3,57.76,True,990000.0
Podgórze Duchackie,2,62.34,True,809000.0
Nowa Huta,1,33,False,390000.0
Prądnik Biały,3,67,True,1190000.0
Prądnik Czerwony,2,43,False,649000.0
Podgórze,2,39.93,True,685000.0
Łagiewniki-Borek Fałęcki,2,52.12,True,840000.0
Prądnik Biały,3,54.2,False,750000.0
Dębniki,3,60,True,940000.0
Prądnik Czerwony,3,52.5,True,699000.0
Mistrzejowice,3,59.3,True,1025000.0
Stare Miasto,4,163,True,2650000.0
Bieżanów-Prokocim,2,37.1,True,495000.0
Krowodrza,2,39,True,659000.0
Podgórze,2,44.94,True,939000.0
Prądnik Czerwony,3,41.4,False,561000.0
Podgórze,4,114.88,False,1699999.0
Stare Miasto,3,120,True,3990000.0
Prądnik Czerwony,2,50,False,619000.0
Bronowice,2,36.43,False,668490.5
Bieńczyce,2,36.9,False,560000.0
Krowodrza,1,25,True,450000.0
Grzegórzki,2,34,False,809000.0
Stare Miasto,2,40.26,False,795000.0
Bronowice,2,44,True,799000.0
Prądnik Biały,3,49.5,False,699000.0
Łagiewniki-Borek Fałęcki,1,16.7,False,173000.0
Prądnik Czerwony,2,35.46,True,699000.0
Podgórze,2,39,True,909000.0
Prądnik Czerwony,4,83.18,True,2600000.0
Podgórze Duchackie,1,28.23,False,462000.0
Stare Miasto,1,37,False,659000.0
Prądnik Biały,3,58,True,669000.0
Stare Miasto,1,37,False,659000.0
Bieżanów-Prokocim,2,45,True,640000.0
Bieńczyce,4,91,False,549000.0
Nowa Huta,1,18,True,379000.0
Prądnik Biały,3,45,True,599900.0
Stare Miasto,2,57.16,True,1300000.0
Bronowice,3,63.5,True,1130000.0
Mistrzejowice,3,51.11,True,795000.0
Podgórze,3,75.19,False,1199000.0
Nowa Huta,3,55.01,True,1099000.0
Bieżanów-Prokocim,4,113,False,1099000.0
Bronowice,2,33.49,True,569000.0
Łagiewniki-Borek Fałęcki,2,47,False,580000.0
Mistrzejowice,3,59.3,True,1025000.0
Krowodrza,2,39,True,699000.0
Prądnik Czerwony,2,53.06,False,1000000.0
Podgórze,3,50,True,949000.0
Stare Miasto,3,176,False,4399000.0
Dębniki,3,51.19,True,989000.0
Podgórze,2,43.23,True,570000.0
Podgórze Duchackie,4,154,False,1399000.0
Mistrzejowice,2,36.63,False,586080.0
Prądnik Biały,2,37.36,False,545000.0
Prądnik Biały,3,61.84,True,850000.0
Nowa Huta,4,95,False,1138955.0
Prądnik Biały,3,59.5,True,1050000.0
Prądnik Czerwony,2,46.3,True,569000.0
Podgórze,3,75,True,1425000.0
Grzegórzki,3,57,True,1160000.0
Podgórze Duchackie,4,68.96,False,964000.0
Łagiewniki-Borek Fałęcki,1,32.39,True,529000.0
Podgórze Duchackie,1,18.8,False,249000.0
Krowodrza,1,25,False,450000.0
Podgórze Duchackie,1,14,False,165000.0
Grzegórzki,2,46.52,True,895000.0
Krowodrza,1,27.52,False,550000.0
Podgórze,2,46,True,999999.0
Bieżanów-Prokocim,3,47.03,True,576000.0
Krowodrza,1,17.01,True,339000.0
Krowodrza,1,27.52,False,550000.0
Podgórze Duchackie,2,36,True,584000.0
Krowodrza,1,23.44,True,495000.0
Stare Miasto,1,22.47,False,489000.0
Podgórze Duchackie,3,59.5,False,699000.0
Prądnik Biały,4,80,True,1599000.0
Bronowice,2,48.6,True,795000.0
Czyżyny,3,53,True,300000.0
Podgórze,2,45,True,649000.0
Grzegórzki,2,54.4,True,1496000.0
Krowodrza,2,51.61,True,890000.0
Prądnik Czerwony,2,40.73,False,599000.0
Bieżanów-Prokocim,2,33,True,495000.0
Dębniki,2,38.1,False,539000.0
Prądnik Biały,4,72.34,False,996483.0
Czyżyny,1,29.44,True,529000.0
Podgórze,3,49.7,True,830000.0
Podgórze,2,42.19,True,669000.0
Prądnik Biały,3,51,False,595000.0
Prądnik Biały,3,67,True,1159000.0
Prądnik Czerwony,2,38.76,False,647292.0
Podgórze,3,49.2,False,830000.0
Podgórze,3,75,True,1425000.0
Bieńczyce,2,37,True,517000.0
Bieżanów-Prokocim,2,51.8,True,779000.0
Nowa Huta,2,35.2,True,629000.0
Bronowice,2,35.71,True,535000.0
Bieżanów-Prokocim,3,64.1,True,960000.0
Prądnik Biały,3,78,False,1100000.0
Czyżyny,2,43,True,725000.0
Dębniki,2,58,True,797000.0
Podgórze,2,44,True,1160000.0
Swoszowice,3,96,True,997600.0
Nowa Huta,1,32.24,True,425000.0
Łagiewniki-Borek Fałęcki,3,50,True,799999.0
Bieżanów-Prokocim,3,68.8,False,860000.0
Bieżanów-Prokocim,3,61,True,815000.0
Mistrzejowice,3,59.3,True,1025000.0
Podgórze Duchackie,3,52,False,669000.0
Bieżanów-Prokocim,1,17.5,False,215000.0
Czyżyny,3,65.2,True,930000.0
Bronowice,3,55,True,799000.0
Bieńczyce,2,46.76,True,550000.0
Podgórze Duchackie,3,61,True,1099000.0
Bieżanów-Prokocim,2,48.97,True,695000.0
Wzgórza Krzesławickie,1,28,True,465000.0
Mistrzejowice,3,59.3,True,1025000.0
Podgórze Duchackie,3,57.55,True,690000.0
Prądnik Biały,3,52.5,True,709000.0
Podgórze,2,55.78,False,659000.0
Prądnik Czerwony,3,51,True,815000.0
Grzegórzki,2,18.8,False,299000.0
Podgórze,2,57.3,False,885000.0
Bieżanów-Prokocim,3,60.23,False,848000.0
Zwierzyniec,4,118.31,False,1834000.0
Nowa Huta,2,44,True,569000.0
Stare Miasto,4,103.27,False,2730000.0
Podgórze Duchackie,3,62.7,True,999000.0
Bieżanów-Prokocim,3,46.85,True,679000.0
Stare Miasto,1,37,False,659000.0
Prądnik Czerwony,3,53.98,False,949000.0
Krowodrza,2,67,True,1250000.0
Bieńczyce,3,49.77,True,799000.0
Prądnik Biały,3,51.5,True,745000.0
Prądnik Biały,4,71.5,True,1288000.0
Bieżanów-Prokocim,3,62,True,770000.0
Czyżyny,2,36.28,False,598620.0
Prądnik Biały,3,53.93,False,650000.0
Prądnik Czerwony,4,142,True,1549000.0
Dębniki,3,44,True,844900.0
Prądnik Czerwony,2,53.06,False,1000000.0
Krowodrza,2,46,True,756756.0
Stare Miasto,2,53,True,899000.0
Prądnik Biały,2,42.8,True,699000.0
Wzgórza Krzesławickie,2,50,False,640000.0
Czyżyny,3,69,True,1320000.0
Podgórze,4,89.01,True,1450000.0
Krowodrza,2,37,True,716000.0
Prądnik Czerwony,3,62,True,965000.0
Dębniki,4,90.14,False,1430000.0
Grzegórzki,3,66.69,True,1200000.0
Dębniki,2,48.6,False,683316.0
Czyżyny,2,50,True,770000.0
Podgórze,2,30.7,True,549000.0
Bieżanów-Prokocim,3,68.8,False,860000.0
Łagiewniki-Borek Fałęcki,1,22,False,233000.0
Prądnik Czerwony,2,49.1,True,800000.0
Krowodrza,3,45,False,674000.0
Bieżanów-Prokocim,3,51,True,630000.0
Podgórze,1,31.3,True,599000.0
Podgórze Duchackie,1,36,True,249000.0
Podgórze,3,62.1,True,999810.0
Podgórze Duchackie,2,37.5,True,649000.0
Prądnik Czerwony,3,54,True,830000.0
Prądnik Czerwony,3,51.69,False,842547.0
Grzegórzki,3,68.3,False,1190000.0
